HCODE,HNAME,CITY,COUNTRY,URL
A,"Arnold Arboretum Herbarium, Harvard University",Cambridge,USA,http://arboretum.harvard.edu/plants/herbaria/herbarium-of-the-arnold-arboretum/
AAU,University of Aarhus Herbarium,,Denmark,http://www.aubot.dk/
AMES,"Oakes Ames Orchid Herbarium, Harvard University",Cambridge,USA,http://www.huh.harvard.edu/collections/oakes.html
BM,"John Clayton Herbarium, British Natural History Museum",London,UK,http://www.nhm.ac.uk/research-curation/research/projects/clayton-herbarium/search/
FB,Forestry Bureau Series,,,http://www.nationaalherbarium.nl/fmcollectors/F/ForestryBureau.htm
FI,Herbarium Universitatis Florentinae,Florence,Italy,
GH,"Gray Herbarium, Harvard University",Cambridge,USA,http://www.huh.harvard.edu/collections/gray.html
K,British Royal Botanical Gardens,Kew,UK,http://www.kew.org/collections/herbcol.html
L,National Herbarium of the Netherlands,Leiden,Netherlands,http://www.nhn.leidenuniv.nl/index.php/databases/
MAK,"Makino Herbarium, Tokyo Metropolitan University",Tokyo,Japan,http://ameba.i.hosei.ac.jp/bidp/makinocd/makino/html_e/index.html
MICH,University of Michigan Herbarium,Ann Arbor,USA,http://herbarium.lsa.umich.edu/databases.html
MO,Missouri Botanical Garden,St. Louis,USA,http://www.tropicos.org/
NA,United States National Arboretum,Washington,USA,http://www.usna.usda.gov/Research/Herbarium/index.html
NY,New York Botanical Garden,New York,USA,http://sciweb.nybg.org/science2/VirtualHerbarium.asp
PNH,Philippines National Herbarium,Manila,Philippines,http://www.nationalmuseum.gov.ph/nationalmuseumbeta/Collections/Botany/Botany.html
PUH,University of the Philippines Herbarium,Quezon City,Philippines,http://biology.upd.edu.ph/
SING,Singapore Botanic Gardens Herbarium,Singapore,Singapore,http://www.sbg.org.sg/research/herbariumlibrary.asp
U,National Herbarium of the Netherlands (Utrecht University),Utrecht,Netherlands,http://www.nhn.leidenuniv.nl/index.php/nhn/institute/utrecht
UC,University of California Herbarium,Berkeley,USA,http://ucjeps.berkeley.edu/
US,United States National Herbarium (Smithsonian),Washington,USA,http://collections.mnh.si.edu/search/botany/
WAG,Wageningen University Herbarium,Wageningen,Netherlands,http://www.bis.wur.nl/UK/Herbarium/
